Feature,Mutual_Info_Score,Selected_by_RFECV
Tenure,0.13607158308527278,True
MonthlyCharge,0.11723980678075474,True
StreamingMovies,0.03828722776147897,True
StreamingTV,0.026951883227585904,True
Contract_Two Year,0.014354901198451397,True
Item3,0.010335690664224018,False
Contract_One year,0.00953023828467936,True
Phone,0.009231210623520836,True
Contacts,0.009204114990969847,False
Multiple,0.008821402361894215,True
Item8,0.008003022420842498,False
Age,0.006974198637876405,False
Job,0.006091666724891365,False
Area_Suburban,0.005995432283079083,False
Email,0.00553743050315747,False
Item6,0.005262465317450005,False
InternetService_Fiber Optic,0.004768447781649199,True
Item1,0.0046371352816199085,False
Income,0.004321470934267824,False
Population,0.004033793927864515,False
Techie,0.0039692440215679525,True
Tablet,0.0038839072362819582,False
Gender_Nonbinary,0.0036591374397079157,False
Area_Urban,0.0036325968015988863,False
Yearly_equip_failure,0.002456492126901466,False
Gender_Male,0.002413108946250908,False
Item7,0.0018847582186611866,False
PaymentMethod_Mailed Check,0.0018824614865238232,False
PaymentMethod_Credit Card (automatic),0.0015743031587580614,False
Marital_Married,0.0011105598176530673,False
Item2,0.00040511482055505255,False
